wind_speed,RPM_blade,oil_temperature,oil_level,temperature,humidity,vibrations_frequency,pressure,wind_direction
44,30,35,19,66,48,1,20,5
16,38,39,19,39,45,5,59,1
75,57,27,11,49,73,6,18,5
17,16,42,14,70,85,12,79,8
45,55,48,25,69,84,4,44,3
27,53,31,10,63,38,6,85,8
31,70,45,17,83,84,15,30,6
22,50,50,16,28,65,9,41,8
42,75,25,31,42,35,5,67,2
44,30,35,19,66,48,1,20,5
16,38,39,19,39,45,5,59,1
75,57,27,11,49,73,6,18,5
17,16,42,14,70,85,12,79,8
45,55,48,25,69,84,4,44,3
27,53,31,10,63,38,6,85,8
31,70,45,17,83,84,15,30,6
22,50,50,16,28,65,9,41,8
42,75,25,31,42,35,5,67,2
44,30,35,19,66,48,1,20,5
16,38,39,19,39,45,5,59,1
75,57,27,11,49,73,6,18,5
17,16,42,14,70,85,12,79,8
45,55,48,25,69,84,4,44,3
27,53,31,10,63,38,6,85,8
31,70,45,17,83,84,15,30,6
22,50,50,16,28,65,9,41,8
42,75,25,31,42,35,5,67,2
44,30,35,19,66,48,1,20,5
16,38,39,19,39,45,5,59,1
75,57,27,11,49,73,6,18,5
17,16,42,14,70,85,12,79,8
45,55,48,25,69,84,4,44,3
27,53,31,10,63,38,6,85,8
31,70,45,17,83,84,15,30,6
22,50,50,16,28,65,9,41,8
42,75,25,31,42,35,5,67,2
48,75,47,10,85,63,7,72,2
53,36,28,24,80,35,15,30,1
52,80,27,17,56,51,14,15,3
75,66,42,33,71,58,6,31,8
17,32,40,28,54,53,10,76,4
85,83,46,22,71,36,4,54,6
51,21,26,29,53,51,10,26,1
51,83,39,30,83,78,14,31,6
30,45,32,11,54,82,15,77,4
84,41,29,33,61,68,14,21,8
23,21,34,31,56,61,6,26,4